Statistic,Month,NACE.Group,value
Retail Sales Index Volume Adjusted,2022 February,Department stores (4719),128.6
Retail Sales Index Volume Adjusted,2022 February,Retail sale of automotive fuel (4730),99.9
Retail Sales Index Volume Adjusted,2022 February,"Retail sale of hardware, paints and glass (4752)",91.0
Retail Sales Index Volume Adjusted,2022 February,Retail sale of furniture and lighting (4759),109.4
Retail Sales Index Volume Adjusted,2022 February,Bars (5630),193.3
Retail Sales Index Volume Adjusted,2022 February,All retail businesses,104.2
Retail Sales Index Volume Adjusted,2022 February,"Motor trades and automotive fuel (45,4730)",94.7
Retail Sales Index Volume Adjusted,2022 February,"All retail businesses, excluding motor trades and bars",104.6
Retail Sales Index Volume Adjusted,2022 February,"All retail businesses, excluding motor trades",107.0
Retail Sales Index Volume Adjusted,2022 February,"All retail businesses, excluding motor trades, automotive fuel and bars",104.7
Retail Sales Index Volume Adjusted,2022 February,"Retail sale of food (4711,4721 to 4729)",91.7
Retail Sales Index Volume Adjusted,2022 February,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",113.3
Retail Sales Index Volume Adjusted,2022 February,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",92.0
Retail Sales Index Volume Adjusted,2022 February,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",101.5
Retail Sales Index Volume Adjusted,2022 February,"Retail sale of electrical goods (4741 to 4743,4754)",99.8
Retail Sales Index Volume Adjusted,2022 February,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",122.9
Retail Sales Index Volume Adjusted,2022 February,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",116.9
Retail Sales Index Volume Adjusted,2022 February,"Other retail sales (4753,4763 to 4765,4776 to 4778)",114.7
Retail Sales Index Volume Adjusted,2022 February,"Retail sale of books, newspapers and stationery (4761,4762)",131.1
Retail Sales Index Volume Adjusted,2022 February,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",101.1
Retail Sales Index Volume Adjusted,2022 March,Motor trades (45),93.6
Retail Sales Index Volume Adjusted,2022 March,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",94.9
Retail Sales Index Volume Adjusted,2022 March,Department stores (4719),128.4
Retail Sales Index Volume Adjusted,2022 March,Retail sale of automotive fuel (4730),94.9
Retail Sales Index Volume Adjusted,2022 March,"Retail sale of hardware, paints and glass (4752)",106.1
Retail Sales Index Volume Adjusted,2022 March,Retail sale of furniture and lighting (4759),115.7
Retail Sales Index Volume Adjusted,2022 March,Bars (5630),206.4
Retail Sales Index Volume Adjusted,2022 March,All retail businesses,106.2
Retail Sales Index Volume Adjusted,2022 March,"Motor trades and automotive fuel (45,4730)",92.8
Retail Sales Index Volume Adjusted,2022 March,"All retail businesses, excluding motor trades and bars",107.0
Retail Sales Index Volume Adjusted,2022 March,"All retail businesses, excluding motor trades",110.6
Retail Sales Index Volume Adjusted,2022 March,"All retail businesses, excluding motor trades, automotive fuel and bars",107.9
Retail Sales Index Volume Adjusted,2022 March,"Retail sale of food (4711,4721 to 4729)",95.2
Retail Sales Index Volume Adjusted,2022 March,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",116.5
Retail Sales Index Volume Adjusted,2022 March,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",91.2
Retail Sales Index Volume Adjusted,2022 March,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",104.1
Retail Sales Index Volume Adjusted,2022 March,"Retail sale of electrical goods (4741 to 4743,4754)",94.8
Retail Sales Index Volume Adjusted,2022 March,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",122.5
Retail Sales Index Volume Adjusted,2022 March,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",128.2
Retail Sales Index Volume Adjusted,2022 March,"Other retail sales (4753,4763 to 4765,4776 to 4778)",125.3
Retail Sales Index Volume Adjusted,2022 March,"Retail sale of books, newspapers and stationery (4761,4762)",129.9
Retail Sales Index Volume Adjusted,2022 March,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",100.3
Retail Sales Index Volume Adjusted,2022 April,Motor trades (45),94.1
Retail Sales Index Volume Adjusted,2022 April,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",94.9
Retail Sales Index Volume Adjusted,2022 April,Department stores (4719),138.0
Retail Sales Index Volume Adjusted,2022 April,Retail sale of automotive fuel (4730),100.3
Retail Sales Index Volume Adjusted,2022 April,"Retail sale of hardware, paints and glass (4752)",92.2
Retail Sales Index Volume Adjusted,2022 April,Retail sale of furniture and lighting (4759),105.9
Retail Sales Index Volume Adjusted,2022 April,Bars (5630),198.4
Retail Sales Index Volume Adjusted,2022 April,All retail businesses,107.1
Retail Sales Index Volume Adjusted,2022 April,"Motor trades and automotive fuel (45,4730)",95.9
Retail Sales Index Volume Adjusted,2022 April,"All retail businesses, excluding motor trades and bars",105.7
Retail Sales Index Volume Adjusted,2022 April,"All retail businesses, excluding motor trades",108.3
Retail Sales Index Volume Adjusted,2022 April,"All retail businesses, excluding motor trades, automotive fuel and bars",106.0
Retail Sales Index Volume Adjusted,2022 April,"Retail sale of food (4711,4721 to 4729)",95.0
Retail Sales Index Volume Adjusted,2022 April,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",114.3
Retail Sales Index Volume Adjusted,2022 April,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",90.4
Retail Sales Index Volume Adjusted,2022 April,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",99.4
Retail Sales Index Volume Adjusted,2022 April,"Retail sale of electrical goods (4741 to 4743,4754)",100.6
Retail Sales Index Volume Adjusted,2022 April,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",124.4
Retail Sales Index Volume Adjusted,2022 April,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",115.0
Retail Sales Index Volume Adjusted,2022 April,"Other retail sales (4753,4763 to 4765,4776 to 4778)",113.8
Retail Sales Index Volume Adjusted,2022 April,"Retail sale of books, newspapers and stationery (4761,4762)",122.5
Retail Sales Index Volume Adjusted,2022 April,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",93.2
Retail Sales Index Volume Adjusted,2022 May,Motor trades (45),95.0
Retail Sales Index Volume Adjusted,2022 May,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",94.3
Retail Sales Index Volume Adjusted,2022 May,Department stores (4719),126.9
Retail Sales Index Volume Adjusted,2022 May,Retail sale of automotive fuel (4730),98.6
Retail Sales Index Volume Adjusted,2022 May,"Retail sale of hardware, paints and glass (4752)",94.0
Retail Sales Index Volume Adjusted,2022 May,Retail sale of furniture and lighting (4759),106.6
Retail Sales Index Volume Adjusted,2022 May,Bars (5630),199.5
Retail Sales Index Volume Adjusted,2022 May,All retail businesses,108.1
Retail Sales Index Volume Adjusted,2022 May,"Motor trades and automotive fuel (45,4730)",96.1
Retail Sales Index Volume Adjusted,2022 May,"All retail businesses, excluding motor trades and bars",106.0
Retail Sales Index Volume Adjusted,2022 May,"All retail businesses, excluding motor trades",109.7
Retail Sales Index Volume Adjusted,2022 May,"All retail businesses, excluding motor trades, automotive fuel and bars",106.5
Retail Sales Index Volume Adjusted,2022 May,"Retail sale of food (4711,4721 to 4729)",94.1
Retail Sales Index Volume Adjusted,2022 May,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",115.7
Retail Sales Index Volume Adjusted,2022 May,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",88.7
Retail Sales Index Volume Adjusted,2022 May,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",103.2
Retail Sales Index Volume Adjusted,2022 May,"Retail sale of electrical goods (4741 to 4743,4754)",100.4
Retail Sales Index Volume Adjusted,2022 May,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",129.3
Retail Sales Index Volume Adjusted,2022 May,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",117.4
Retail Sales Index Volume Adjusted,2022 May,"Other retail sales (4753,4763 to 4765,4776 to 4778)",116.2
Retail Sales Index Volume Adjusted,2022 May,"Retail sale of books, newspapers and stationery (4761,4762)",126.2
Retail Sales Index Volume Adjusted,2022 May,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",101.3
Retail Sales Index Volume Adjusted,2022 June,Motor trades (45),95.1
Retail Sales Index Volume Adjusted,2022 June,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",94.4
Retail Sales Index Volume Adjusted,2022 June,Department stores (4719),125.7
Retail Sales Index Volume Adjusted,2022 June,Retail sale of automotive fuel (4730),100.3
Retail Sales Index Volume Adjusted,2022 June,"Retail sale of hardware, paints and glass (4752)",90.9
Retail Sales Index Volume Adjusted,2022 June,Retail sale of furniture and lighting (4759),108.8
Retail Sales Index Volume Adjusted,2022 June,Bars (5630),155.6
Retail Sales Index Volume Adjusted,2022 June,All retail businesses,108.2
Retail Sales Index Volume Adjusted,2022 June,"Motor trades and automotive fuel (45,4730)",97.4
Retail Sales Index Volume Adjusted,2022 June,"All retail businesses, excluding motor trades and bars",107.8
Retail Sales Index Volume Adjusted,2022 June,"All retail businesses, excluding motor trades",111.3
Retail Sales Index Volume Adjusted,2022 June,"All retail businesses, excluding motor trades, automotive fuel and bars",108.2
Retail Sales Index Volume Adjusted,2022 June,"Retail sale of food (4711,4721 to 4729)",94.4
Retail Sales Index Volume Adjusted,2022 June,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",115.8
Retail Sales Index Volume Adjusted,2022 June,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",88.0
Retail Sales Index Volume Adjusted,2022 June,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",97.8
Retail Sales Index Volume Adjusted,2022 June,"Retail sale of electrical goods (4741 to 4743,4754)",91.3
Retail Sales Index Volume Adjusted,2022 June,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",130.1
Retail Sales Index Volume Adjusted,2022 June,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",120.7
Retail Sales Index Volume Adjusted,2022 June,"Other retail sales (4753,4763 to 4765,4776 to 4778)",122.3
Retail Sales Index Volume Adjusted,2022 June,"Retail sale of books, newspapers and stationery (4761,4762)",118.5
Retail Sales Index Volume Adjusted,2022 June,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",106.5
Retail Sales Index Volume Adjusted,2022 July,Motor trades (45),98.3
Retail Sales Index Volume Adjusted,2022 July,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",96.4
Retail Sales Index Volume Adjusted,2022 July,Department stores (4719),120.4
Retail Sales Index Volume Adjusted,2022 July,Retail sale of automotive fuel (4730),99.8
Retail Sales Index Volume Adjusted,2022 July,"Retail sale of hardware, paints and glass (4752)",90.1
Retail Sales Index Volume Adjusted,2022 July,Retail sale of furniture and lighting (4759),108.3
Retail Sales Index Volume Adjusted,2022 July,Bars (5630),191.1
Retail Sales Index Volume Adjusted,2022 July,All retail businesses,105.0
Retail Sales Index Volume Adjusted,2022 July,"Motor trades and automotive fuel (45,4730)",96.4
Retail Sales Index Volume Adjusted,2022 July,"All retail businesses, excluding motor trades and bars",107.0
Retail Sales Index Volume Adjusted,2022 July,"All retail businesses, excluding motor trades",110.6
Retail Sales Index Volume Adjusted,2022 July,"All retail businesses, excluding motor trades, automotive fuel and bars",107.4
Retail Sales Index Volume Adjusted,2022 July,"Retail sale of food (4711,4721 to 4729)",95.5
Retail Sales Index Volume Adjusted,2022 July,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",114.0
Retail Sales Index Volume Adjusted,2022 July,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",90.0
Retail Sales Index Volume Adjusted,2022 July,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",95.4
Retail Sales Index Volume Adjusted,2022 July,"Retail sale of electrical goods (4741 to 4743,4754)",91.9
Retail Sales Index Volume Adjusted,2022 July,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",127.4
Retail Sales Index Volume Adjusted,2022 July,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",118.7
Retail Sales Index Volume Adjusted,2022 July,"Other retail sales (4753,4763 to 4765,4776 to 4778)",120.4
Retail Sales Index Volume Adjusted,2022 July,"Retail sale of books, newspapers and stationery (4761,4762)",119.3
Retail Sales Index Volume Adjusted,2022 July,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",107.5
Retail Sales Index Volume Adjusted,2022 August,Motor trades (45),100.3
