,Statistic,Quarter,Eircode.Output,value
360,New Dwelling Completion,2012Q3,K78: Lucan,2
361,New Dwelling Completion,2012Q3,N37: Athlone,8
362,New Dwelling Completion,2012Q3,N39: Longford,29
363,New Dwelling Completion,2012Q3,N41: Carrick-on-Shannon,11
364,New Dwelling Completion,2012Q3,N91: Mullingar,16
365,New Dwelling Completion,2012Q3,P12: Macroom,14
366,New Dwelling Completion,2012Q3,P14: Crookstown,1
367,New Dwelling Completion,2012Q3,P17: Kinsale,6
368,New Dwelling Completion,2012Q3,P24: Cobh,0
369,New Dwelling Completion,2012Q3,P25: Midleton,4
370,New Dwelling Completion,2012Q3,P31: Ballincollig,6
371,New Dwelling Completion,2012Q3,P32: Rylane,3
372,New Dwelling Completion,2012Q3,P36: Youghal,2
373,New Dwelling Completion,2012Q3,P43: Carrigaline,9
374,New Dwelling Completion,2012Q3,P47: Dunmanway,7
375,New Dwelling Completion,2012Q3,P51: Mallow,23
376,New Dwelling Completion,2012Q3,P56: Charleville,4
377,New Dwelling Completion,2012Q3,P61: Fermoy,3
378,New Dwelling Completion,2012Q3,P67: Mitchelstown,1
379,New Dwelling Completion,2012Q3,P72: Bandon,3
380,New Dwelling Completion,2012Q3,P75: Bantry,11
381,New Dwelling Completion,2012Q3,P81: Skibbereen,15
382,New Dwelling Completion,2012Q3,P85: Clonakilty,4
383,New Dwelling Completion,2012Q3,R14: Athy,4
384,New Dwelling Completion,2012Q3,R21: Mhuine Bheag,3
385,New Dwelling Completion,2012Q3,R32: Portlaoise,28
386,New Dwelling Completion,2012Q3,R35: Tullamore,12
387,New Dwelling Completion,2012Q3,R42: Birr,7
388,New Dwelling Completion,2012Q3,R45: Edenderry,3
389,New Dwelling Completion,2012Q3,R51: Kildare,2
390,New Dwelling Completion,2012Q3,R56: Curragh,2
391,New Dwelling Completion,2012Q3,R93: Carlow,14
392,New Dwelling Completion,2012Q3,R95: Kilkenny,16
393,New Dwelling Completion,2012Q3,T12: Cork Southside,20
394,New Dwelling Completion,2012Q3,T23: Cork Northside,10
395,New Dwelling Completion,2012Q3,T34: Carrignavar,5
396,New Dwelling Completion,2012Q3,T45: Glanmire,6
397,New Dwelling Completion,2012Q3,T56: Watergrasshill,6
398,New Dwelling Completion,2012Q3,V14: Shannon,2
399,New Dwelling Completion,2012Q3,V15: Kilrush,3
400,New Dwelling Completion,2012Q3,V23: Caherciveen,3
401,New Dwelling Completion,2012Q3,V31: Listowel,9
402,New Dwelling Completion,2012Q3,V35: Kilmallock,9
403,New Dwelling Completion,2012Q3,V42: Newcastle West,5
404,New Dwelling Completion,2012Q3,V92: Tralee,8
405,New Dwelling Completion,2012Q3,V93: Killarney,20
406,New Dwelling Completion,2012Q3,V94: Limerick,40
407,New Dwelling Completion,2012Q3,V95: Ennis,24
408,New Dwelling Completion,2012Q3,W12: Newbridge,2
409,New Dwelling Completion,2012Q3,W23: Celbridge,18
410,New Dwelling Completion,2012Q3,W34: Monasterevin,0
411,New Dwelling Completion,2012Q3,W91: Naas,21
412,New Dwelling Completion,2012Q3,X35: Dungarvan,2
413,New Dwelling Completion,2012Q3,X42: Kilmacthomas,3
414,New Dwelling Completion,2012Q3,X91: Waterford,11
415,New Dwelling Completion,2012Q3,Y14: Arklow,7
416,New Dwelling Completion,2012Q3,Y21: Enniscorthy,16
417,New Dwelling Completion,2012Q3,Y25: Gorey,7
418,New Dwelling Completion,2012Q3,Y34: New Ross,2
