,Statistic,Month,Type.of.Residential.Property,value
471,Residential Property Price Index,2006 December,National excluding Dublin - houses,175.4
472,Residential Property Price Index,2006 December,National excluding Dublin - apartments,233.1
473,Residential Property Price Index,2006 December,Border - houses,
474,Residential Property Price Index,2006 December,Midland - houses,
475,Residential Property Price Index,2006 December,West - houses,
476,Residential Property Price Index,2006 December,Mid-East - houses,
477,Residential Property Price Index,2006 December,Mid-West - houses,
478,Residential Property Price Index,2006 December,South-East - houses,
479,Residential Property Price Index,2006 December,South-West - houses,
480,Residential Property Price Index,2007 January,National - all residential properties,162.0
481,Residential Property Price Index,2007 January,National - houses,157.7
482,Residential Property Price Index,2007 January,National - apartments,190.9
483,Residential Property Price Index,2007 January,Dublin - all residential properties,159.2
484,Residential Property Price Index,2007 January,Dublin - houses,153.0
485,Residential Property Price Index,2007 January,Dublin - apartments,183.4
486,Residential Property Price Index,2007 January,Dublin City - houses,
