,Statistic,Month,Type.of.Residential.Property,value
11917,Percentage Change over 3 months for Residential Property Price Index,2016 December,Mid-West - houses,1.8
11918,Percentage Change over 3 months for Residential Property Price Index,2016 December,South-East - houses,4.7
11919,Percentage Change over 3 months for Residential Property Price Index,2016 December,South-West - houses,2.2
11920,Percentage Change over 3 months for Residential Property Price Index,2017 January,National - all residential properties,1.6
11921,Percentage Change over 3 months for Residential Property Price Index,2017 January,National - houses,1.5
11922,Percentage Change over 3 months for Residential Property Price Index,2017 January,National - apartments,2.5
11923,Percentage Change over 3 months for Residential Property Price Index,2017 January,Dublin - all residential properties,1.1
11924,Percentage Change over 3 months for Residential Property Price Index,2017 January,Dublin - houses,1.2
11925,Percentage Change over 3 months for Residential Property Price Index,2017 January,Dublin - apartments,1.2
11926,Percentage Change over 3 months for Residential Property Price Index,2017 January,Dublin City - houses,1.7
11927,Percentage Change over 3 months for Residential Property Price Index,2017 January,Dun Laoghaire-Rathdown - houses,2.7
11928,Percentage Change over 3 months for Residential Property Price Index,2017 January,Fingal - houses,0.8
11929,Percentage Change over 3 months for Residential Property Price Index,2017 January,South Dublin - houses,3.7
11930,Percentage Change over 3 months for Residential Property Price Index,2017 January,National excluding Dublin - all residential properties,2.1
11931,Percentage Change over 3 months for Residential Property Price Index,2017 January,National excluding Dublin - houses,1.7
11932,Percentage Change over 3 months for Residential Property Price Index,2017 January,National excluding Dublin - apartments,5.0
11933,Percentage Change over 3 months for Residential Property Price Index,2017 January,Border - houses,2.7
11934,Percentage Change over 3 months for Residential Property Price Index,2017 January,Midland - houses,0.2
11935,Percentage Change over 3 months for Residential Property Price Index,2017 January,West - houses,4.3
11936,Percentage Change over 3 months for Residential Property Price Index,2017 January,Mid-East - houses,3.1
11937,Percentage Change over 3 months for Residential Property Price Index,2017 January,Mid-West - houses,2.0
11938,Percentage Change over 3 months for Residential Property Price Index,2017 January,South-East - houses,4.7
11939,Percentage Change over 3 months for Residential Property Price Index,2017 January,South-West - houses,2.7
11940,Percentage Change over 3 months for Residential Property Price Index,2017 February,National - all residential properties,0.5
11941,Percentage Change over 3 months for Residential Property Price Index,2017 February,National - houses,0.6
11942,Percentage Change over 3 months for Residential Property Price Index,2017 February,National - apartments,1.0
11943,Percentage Change over 3 months for Residential Property Price Index,2017 February,Dublin - all residential properties,0.1
11944,Percentage Change over 3 months for Residential Property Price Index,2017 February,Dublin - houses,0.6
11945,Percentage Change over 3 months for Residential Property Price Index,2017 February,Dublin - apartments,-1.0
11946,Percentage Change over 3 months for Residential Property Price Index,2017 February,Dublin City - houses,1.3
11947,Percentage Change over 3 months for Residential Property Price Index,2017 February,Dun Laoghaire-Rathdown - houses,1.5
11948,Percentage Change over 3 months for Residential Property Price Index,2017 February,Fingal - houses,1.4
11949,Percentage Change over 3 months for Residential Property Price Index,2017 February,South Dublin - houses,2.4
11950,Percentage Change over 3 months for Residential Property Price Index,2017 February,National excluding Dublin - all residential properties,0.9
11951,Percentage Change over 3 months for Residential Property Price Index,2017 February,National excluding Dublin - houses,0.6
11952,Percentage Change over 3 months for Residential Property Price Index,2017 February,National excluding Dublin - apartments,4.4
11953,Percentage Change over 3 months for Residential Property Price Index,2017 February,Border - houses,4.7
11954,Percentage Change over 3 months for Residential Property Price Index,2017 February,Midland - houses,-0.2
11955,Percentage Change over 3 months for Residential Property Price Index,2017 February,West - houses,3.6
11956,Percentage Change over 3 months for Residential Property Price Index,2017 February,Mid-East - houses,2.6
11957,Percentage Change over 3 months for Residential Property Price Index,2017 February,Mid-West - houses,-0.5
11958,Percentage Change over 3 months for Residential Property Price Index,2017 February,South-East - houses,4.5
11959,Percentage Change over 3 months for Residential Property Price Index,2017 February,South-West - houses,0.1
11960,Percentage Change over 3 months for Residential Property Price Index,2017 March,National - all residential properties,1.4
11961,Percentage Change over 3 months for Residential Property Price Index,2017 March,National - houses,1.3
11962,Percentage Change over 3 months for Residential Property Price Index,2017 March,National - apartments,1.7
11963,Percentage Change over 3 months for Residential Property Price Index,2017 March,Dublin - all residential properties,1.4
11964,Percentage Change over 3 months for Residential Property Price Index,2017 March,Dublin - houses,1.7
11965,Percentage Change over 3 months for Residential Property Price Index,2017 March,Dublin - apartments,0.1
11966,Percentage Change over 3 months for Residential Property Price Index,2017 March,Dublin City - houses,2.3
11967,Percentage Change over 3 months for Residential Property Price Index,2017 March,Dun Laoghaire-Rathdown - houses,1.2
11968,Percentage Change over 3 months for Residential Property Price Index,2017 March,Fingal - houses,2.5
11969,Percentage Change over 3 months for Residential Property Price Index,2017 March,South Dublin - houses,1.9
11970,Percentage Change over 3 months for Residential Property Price Index,2017 March,National excluding Dublin - all residential properties,1.3
11971,Percentage Change over 3 months for Residential Property Price Index,2017 March,National excluding Dublin - houses,1.0
11972,Percentage Change over 3 months for Residential Property Price Index,2017 March,National excluding Dublin - apartments,5.3
11973,Percentage Change over 3 months for Residential Property Price Index,2017 March,Border - houses,3.8
11974,Percentage Change over 3 months for Residential Property Price Index,2017 March,Midland - houses,1.9
11975,Percentage Change over 3 months for Residential Property Price Index,2017 March,West - houses,1.4
11976,Percentage Change over 3 months for Residential Property Price Index,2017 March,Mid-East - houses,2.0
11977,Percentage Change over 3 months for Residential Property Price Index,2017 March,Mid-West - houses,-0.8
11978,Percentage Change over 3 months for Residential Property Price Index,2017 March,South-East - houses,2.2
11979,Percentage Change over 3 months for Residential Property Price Index,2017 March,South-West - houses,1.8
11980,Percentage Change over 3 months for Residential Property Price Index,2017 April,National - all residential properties,1.1
