Statistic,Quarter,NST.Group,value
Tonne-Kilometre,2014Q4,"Wood, pulp and paper",81
Tonne-Kilometre,2014Q4,Coke and refined petroleum products,216
Tonne-Kilometre,2014Q4,Chemicals and plastics,87
Tonne-Kilometre,2014Q4,Other non-metallic mineral products,191
Tonne-Kilometre,2014Q4,Metal products (except machinery and equipment),77
Tonne-Kilometre,2014Q4,Machinery and equipment,43
Tonne-Kilometre,2014Q4,Furniture and other manufactured goods,29
Tonne-Kilometre,2014Q4,Secondary raw materials and waste,65
Tonne-Kilometre,2014Q4,Other NST 2007 goods,338
Tonne-Kilometre,2015Q1,All NST 2007 goods,2305
Tonne-Kilometre,2015Q1,Products of agriculture forestry and fishing,206
Tonne-Kilometre,2015Q1,Coal and natural gas,17
Tonne-Kilometre,2015Q1,"Quarry products, metal ores and peat",221
Tonne-Kilometre,2015Q1,Foodstuffs,687
Tonne-Kilometre,2015Q1,Textiles and leather,15
Tonne-Kilometre,2015Q1,"Wood, pulp and paper",95
Tonne-Kilometre,2015Q1,Coke and refined petroleum products,193
Tonne-Kilometre,2015Q1,Chemicals and plastics,135
Tonne-Kilometre,2015Q1,Other non-metallic mineral products,143
Tonne-Kilometre,2015Q1,Metal products (except machinery and equipment),52
Tonne-Kilometre,2015Q1,Machinery and equipment,38
Tonne-Kilometre,2015Q1,Furniture and other manufactured goods,24
Tonne-Kilometre,2015Q1,Secondary raw materials and waste,60
Tonne-Kilometre,2015Q1,Other NST 2007 goods,417
Tonne-Kilometre,2015Q2,All NST 2007 goods,2535
Tonne-Kilometre,2015Q2,Products of agriculture forestry and fishing,354
Tonne-Kilometre,2015Q2,Coal and natural gas,20
Tonne-Kilometre,2015Q2,"Quarry products, metal ores and peat",203
Tonne-Kilometre,2015Q2,Foodstuffs,692
Tonne-Kilometre,2015Q2,Textiles and leather,59
Tonne-Kilometre,2015Q2,"Wood, pulp and paper",137
Tonne-Kilometre,2015Q2,Coke and refined petroleum products,223
Tonne-Kilometre,2015Q2,Chemicals and plastics,131
Tonne-Kilometre,2015Q2,Other non-metallic mineral products,151
Tonne-Kilometre,2015Q2,Metal products (except machinery and equipment),45
Tonne-Kilometre,2015Q2,Machinery and equipment,60
Tonne-Kilometre,2015Q2,Furniture and other manufactured goods,28
Tonne-Kilometre,2015Q2,Secondary raw materials and waste,77
Tonne-Kilometre,2015Q2,Other NST 2007 goods,355
Tonne-Kilometre,2015Q3,All NST 2007 goods,2570
Tonne-Kilometre,2015Q3,Products of agriculture forestry and fishing,357
Tonne-Kilometre,2015Q3,Coal and natural gas,7
Tonne-Kilometre,2015Q3,"Quarry products, metal ores and peat",241
Tonne-Kilometre,2015Q3,Foodstuffs,681
Tonne-Kilometre,2015Q3,Textiles and leather,30
Tonne-Kilometre,2015Q3,"Wood, pulp and paper",144
Tonne-Kilometre,2015Q3,Coke and refined petroleum products,181
Tonne-Kilometre,2015Q3,Chemicals and plastics,84
Tonne-Kilometre,2015Q3,Other non-metallic mineral products,232
Tonne-Kilometre,2015Q3,Metal products (except machinery and equipment),76
Tonne-Kilometre,2015Q3,Machinery and equipment,41
Tonne-Kilometre,2015Q3,Furniture and other manufactured goods,33
Tonne-Kilometre,2015Q3,Secondary raw materials and waste,54
Tonne-Kilometre,2015Q3,Other NST 2007 goods,409
Tonne-Kilometre,2015Q4,All NST 2007 goods,2435
Tonne-Kilometre,2015Q4,Products of agriculture forestry and fishing,252
Tonne-Kilometre,2015Q4,Coal and natural gas,33
Tonne-Kilometre,2015Q4,"Quarry products, metal ores and peat",260
Tonne-Kilometre,2015Q4,Foodstuffs,662
Tonne-Kilometre,2015Q4,Textiles and leather,19
Tonne-Kilometre,2015Q4,"Wood, pulp and paper",104
Tonne-Kilometre,2015Q4,Coke and refined petroleum products,260
Tonne-Kilometre,2015Q4,Chemicals and plastics,90
Tonne-Kilometre,2015Q4,Other non-metallic mineral products,146
Tonne-Kilometre,2015Q4,Metal products (except machinery and equipment),36
Tonne-Kilometre,2015Q4,Machinery and equipment,60
Tonne-Kilometre,2015Q4,Furniture and other manufactured goods,29
Tonne-Kilometre,2015Q4,Secondary raw materials and waste,99
Tonne-Kilometre,2015Q4,Other NST 2007 goods,383
Tonne-Kilometre,2016Q1,All NST 2007 goods,2729
Tonne-Kilometre,2016Q1,Products of agriculture forestry and fishing,239
Tonne-Kilometre,2016Q1,Coal and natural gas,21
Tonne-Kilometre,2016Q1,"Quarry products, metal ores and peat",241
Tonne-Kilometre,2016Q1,Foodstuffs,780
Tonne-Kilometre,2016Q1,Textiles and leather,17
Tonne-Kilometre,2016Q1,"Wood, pulp and paper",159
Tonne-Kilometre,2016Q1,Coke and refined petroleum products,250
Tonne-Kilometre,2016Q1,Chemicals and plastics,135
Tonne-Kilometre,2016Q1,Other non-metallic mineral products,187
Tonne-Kilometre,2016Q1,Metal products (except machinery and equipment),49
Tonne-Kilometre,2016Q1,Machinery and equipment,38
Tonne-Kilometre,2016Q1,Furniture and other manufactured goods,50
Tonne-Kilometre,2016Q1,Secondary raw materials and waste,77
Tonne-Kilometre,2016Q1,Other NST 2007 goods,484
Tonne-Kilometre,2016Q2,All NST 2007 goods,2884
Tonne-Kilometre,2016Q2,Products of agriculture forestry and fishing,296
Tonne-Kilometre,2016Q2,Coal and natural gas,13
Tonne-Kilometre,2016Q2,"Quarry products, metal ores and peat",307
Tonne-Kilometre,2016Q2,Foodstuffs,713
Tonne-Kilometre,2016Q2,Textiles and leather,32
