Statistic,Quarter,Type.of.House,Local.Authority,value
New Dwelling Completion,2014Q1,Single house,South Dublin County Council,3
New Dwelling Completion,2014Q1,Single house,Sligo County Council,9
New Dwelling Completion,2014Q1,Single house,Tipperary County Council,25
New Dwelling Completion,2014Q1,Single house,Waterford City & County Council,13
New Dwelling Completion,2014Q1,Single house,Westmeath County Council,14
New Dwelling Completion,2014Q1,Single house,Wicklow County Council,18
New Dwelling Completion,2014Q1,Single house,Wexford County Council,28
New Dwelling Completion,2014Q1,Single house,Ireland,625
New Dwelling Completion,2014Q1,Scheme house,Cork City Council,7
New Dwelling Completion,2014Q1,Scheme house,Clare County Council,15
New Dwelling Completion,2014Q1,Scheme house,Cavan County Council,1
New Dwelling Completion,2014Q1,Scheme house,Cork County Council,14
New Dwelling Completion,2014Q1,Scheme house,Carlow County Council,11
New Dwelling Completion,2014Q1,Scheme house,Dublin City Council,27
New Dwelling Completion,2014Q1,Scheme house,Dún Laoghaire Rathdown County Council,32
New Dwelling Completion,2014Q1,Scheme house,Donegal County Council,2
New Dwelling Completion,2014Q1,Scheme house,Fingal County Council,44
New Dwelling Completion,2014Q1,Scheme house,Galway County Council,3
New Dwelling Completion,2014Q1,Scheme house,Galway City Council,2
New Dwelling Completion,2014Q1,Scheme house,Kildare County Council,33
New Dwelling Completion,2014Q1,Scheme house,Kilkenny County Council,5
New Dwelling Completion,2014Q1,Scheme house,Kerry County Council,11
New Dwelling Completion,2014Q1,Scheme house,Longford County Council,5
New Dwelling Completion,2014Q1,Scheme house,Louth County Council,2
New Dwelling Completion,2014Q1,Scheme house,Limerick City & County Council,2
New Dwelling Completion,2014Q1,Scheme house,Leitrim County Council,0
New Dwelling Completion,2014Q1,Scheme house,Laois County Council,4
New Dwelling Completion,2014Q1,Scheme house,Meath County Council,11
New Dwelling Completion,2014Q1,Scheme house,Monaghan County Council,0
New Dwelling Completion,2014Q1,Scheme house,Mayo County Council,2
New Dwelling Completion,2014Q1,Scheme house,Offaly County Council,1
New Dwelling Completion,2014Q1,Scheme house,Roscommon County Council,2
New Dwelling Completion,2014Q1,Scheme house,South Dublin County Council,46
New Dwelling Completion,2014Q1,Scheme house,Sligo County Council,0
New Dwelling Completion,2014Q1,Scheme house,Tipperary County Council,2
New Dwelling Completion,2014Q1,Scheme house,Waterford City & County Council,7
New Dwelling Completion,2014Q1,Scheme house,Westmeath County Council,0
New Dwelling Completion,2014Q1,Scheme house,Wicklow County Council,9
New Dwelling Completion,2014Q1,Scheme house,Wexford County Council,9
New Dwelling Completion,2014Q1,Scheme house,Ireland,309
New Dwelling Completion,2014Q1,Apartment,Cork City Council,0
New Dwelling Completion,2014Q1,Apartment,Clare County Council,0
New Dwelling Completion,2014Q1,Apartment,Cavan County Council,0
New Dwelling Completion,2014Q1,Apartment,Cork County Council,1
New Dwelling Completion,2014Q1,Apartment,Carlow County Council,0
New Dwelling Completion,2014Q1,Apartment,Dublin City Council,24
New Dwelling Completion,2014Q1,Apartment,Dún Laoghaire Rathdown County Council,103
New Dwelling Completion,2014Q1,Apartment,Donegal County Council,0
New Dwelling Completion,2014Q1,Apartment,Fingal County Council,1
New Dwelling Completion,2014Q1,Apartment,Galway County Council,2
New Dwelling Completion,2014Q1,Apartment,Galway City Council,3
New Dwelling Completion,2014Q1,Apartment,Kildare County Council,0
New Dwelling Completion,2014Q1,Apartment,Kilkenny County Council,0
New Dwelling Completion,2014Q1,Apartment,Kerry County Council,0
New Dwelling Completion,2014Q1,Apartment,Longford County Council,0
New Dwelling Completion,2014Q1,Apartment,Louth County Council,2
New Dwelling Completion,2014Q1,Apartment,Limerick City & County Council,1
New Dwelling Completion,2014Q1,Apartment,Leitrim County Council,0
New Dwelling Completion,2014Q1,Apartment,Laois County Council,10
New Dwelling Completion,2014Q1,Apartment,Meath County Council,0
New Dwelling Completion,2014Q1,Apartment,Monaghan County Council,0
New Dwelling Completion,2014Q1,Apartment,Mayo County Council,1
New Dwelling Completion,2014Q1,Apartment,Offaly County Council,0
New Dwelling Completion,2014Q1,Apartment,Roscommon County Council,0
New Dwelling Completion,2014Q1,Apartment,South Dublin County Council,0
New Dwelling Completion,2014Q1,Apartment,Sligo County Council,0
New Dwelling Completion,2014Q1,Apartment,Tipperary County Council,1
New Dwelling Completion,2014Q1,Apartment,Waterford City & County Council,0
New Dwelling Completion,2014Q1,Apartment,Westmeath County Council,9
New Dwelling Completion,2014Q1,Apartment,Wicklow County Council,2
New Dwelling Completion,2014Q1,Apartment,Wexford County Council,0
New Dwelling Completion,2014Q1,Apartment,Ireland,160
New Dwelling Completion,2014Q1,All house types,Cork City Council,9
New Dwelling Completion,2014Q1,All house types,Clare County Council,38
New Dwelling Completion,2014Q1,All house types,Cavan County Council,25
New Dwelling Completion,2014Q1,All house types,Cork County Council,91
New Dwelling Completion,2014Q1,All house types,Carlow County Council,22
New Dwelling Completion,2014Q1,All house types,Dublin City Council,56
New Dwelling Completion,2014Q1,All house types,Dún Laoghaire Rathdown County Council,143
New Dwelling Completion,2014Q1,All house types,Donegal County Council,55
New Dwelling Completion,2014Q1,All house types,Fingal County Council,53
New Dwelling Completion,2014Q1,All house types,Galway County Council,65
New Dwelling Completion,2014Q1,All house types,Galway City Council,6
New Dwelling Completion,2014Q1,All house types,Kildare County Council,58
New Dwelling Completion,2014Q1,All house types,Kilkenny County Council,20
New Dwelling Completion,2014Q1,All house types,Kerry County Council,40
New Dwelling Completion,2014Q1,All house types,Longford County Council,17
New Dwelling Completion,2014Q1,All house types,Louth County Council,27
New Dwelling Completion,2014Q1,All house types,Limerick City & County Council,27
New Dwelling Completion,2014Q1,All house types,Leitrim County Council,7
New Dwelling Completion,2014Q1,All house types,Laois County Council,24
New Dwelling Completion,2014Q1,All house types,Meath County Council,39
New Dwelling Completion,2014Q1,All house types,Monaghan County Council,11
New Dwelling Completion,2014Q1,All house types,Mayo County Council,35
New Dwelling Completion,2014Q1,All house types,Offaly County Council,14
New Dwelling Completion,2014Q1,All house types,Roscommon County Council,17
New Dwelling Completion,2014Q1,All house types,South Dublin County Council,49
New Dwelling Completion,2014Q1,All house types,Sligo County Council,9
New Dwelling Completion,2014Q1,All house types,Tipperary County Council,28
New Dwelling Completion,2014Q1,All house types,Waterford City & County Council,20
New Dwelling Completion,2014Q1,All house types,Westmeath County Council,23
New Dwelling Completion,2014Q1,All house types,Wicklow County Council,29
New Dwelling Completion,2014Q1,All house types,Wexford County Council,37
New Dwelling Completion,2014Q1,All house types,Ireland,1094
New Dwelling Completion,2014Q2,Single house,Cork City Council,11
New Dwelling Completion,2014Q2,Single house,Clare County Council,34
New Dwelling Completion,2014Q2,Single house,Cavan County Council,16
New Dwelling Completion,2014Q2,Single house,Cork County Council,88
New Dwelling Completion,2014Q2,Single house,Carlow County Council,4
New Dwelling Completion,2014Q2,Single house,Dublin City Council,11
New Dwelling Completion,2014Q2,Single house,Dún Laoghaire Rathdown County Council,8
New Dwelling Completion,2014Q2,Single house,Donegal County Council,57
New Dwelling Completion,2014Q2,Single house,Fingal County Council,12
New Dwelling Completion,2014Q2,Single house,Galway County Council,54
New Dwelling Completion,2014Q2,Single house,Galway City Council,1
New Dwelling Completion,2014Q2,Single house,Kildare County Council,22
New Dwelling Completion,2014Q2,Single house,Kilkenny County Council,21
New Dwelling Completion,2014Q2,Single house,Kerry County Council,37
New Dwelling Completion,2014Q2,Single house,Longford County Council,7
New Dwelling Completion,2014Q2,Single house,Louth County Council,19
New Dwelling Completion,2014Q2,Single house,Limerick City & County Council,31
New Dwelling Completion,2014Q2,Single house,Leitrim County Council,7
New Dwelling Completion,2014Q2,Single house,Laois County Council,12
New Dwelling Completion,2014Q2,Single house,Meath County Council,35
New Dwelling Completion,2014Q2,Single house,Monaghan County Council,15
New Dwelling Completion,2014Q2,Single house,Mayo County Council,47
New Dwelling Completion,2014Q2,Single house,Offaly County Council,11
New Dwelling Completion,2014Q2,Single house,Roscommon County Council,10
New Dwelling Completion,2014Q2,Single house,South Dublin County Council,6
New Dwelling Completion,2014Q2,Single house,Sligo County Council,20
New Dwelling Completion,2014Q2,Single house,Tipperary County Council,27
New Dwelling Completion,2014Q2,Single house,Waterford City & County Council,15
New Dwelling Completion,2014Q2,Single house,Westmeath County Council,12
New Dwelling Completion,2014Q2,Single house,Wicklow County Council,25
New Dwelling Completion,2014Q2,Single house,Wexford County Council,37
New Dwelling Completion,2014Q2,Single house,Ireland,712
New Dwelling Completion,2014Q2,Scheme house,Cork City Council,12
New Dwelling Completion,2014Q2,Scheme house,Clare County Council,0
New Dwelling Completion,2014Q2,Scheme house,Cavan County Council,6
New Dwelling Completion,2014Q2,Scheme house,Cork County Council,21
New Dwelling Completion,2014Q2,Scheme house,Carlow County Council,14
New Dwelling Completion,2014Q2,Scheme house,Dublin City Council,35
New Dwelling Completion,2014Q2,Scheme house,Dún Laoghaire Rathdown County Council,56
New Dwelling Completion,2014Q2,Scheme house,Donegal County Council,5
New Dwelling Completion,2014Q2,Scheme house,Fingal County Council,61
New Dwelling Completion,2014Q2,Scheme house,Galway County Council,3
New Dwelling Completion,2014Q2,Scheme house,Galway City Council,3
New Dwelling Completion,2014Q2,Scheme house,Kildare County Council,43
New Dwelling Completion,2014Q2,Scheme house,Kilkenny County Council,1
New Dwelling Completion,2014Q2,Scheme house,Kerry County Council,5
New Dwelling Completion,2014Q2,Scheme house,Longford County Council,1
New Dwelling Completion,2014Q2,Scheme house,Louth County Council,10
New Dwelling Completion,2014Q2,Scheme house,Limerick City & County Council,4
New Dwelling Completion,2014Q2,Scheme house,Leitrim County Council,0
New Dwelling Completion,2014Q2,Scheme house,Laois County Council,1
New Dwelling Completion,2014Q2,Scheme house,Meath County Council,14
New Dwelling Completion,2014Q2,Scheme house,Monaghan County Council,2
New Dwelling Completion,2014Q2,Scheme house,Mayo County Council,0
New Dwelling Completion,2014Q2,Scheme house,Offaly County Council,0
New Dwelling Completion,2014Q2,Scheme house,Roscommon County Council,0
New Dwelling Completion,2014Q2,Scheme house,South Dublin County Council,53
New Dwelling Completion,2014Q2,Scheme house,Sligo County Council,0
New Dwelling Completion,2014Q2,Scheme house,Tipperary County Council,2
New Dwelling Completion,2014Q2,Scheme house,Waterford City & County Council,0
New Dwelling Completion,2014Q2,Scheme house,Westmeath County Council,0
New Dwelling Completion,2014Q2,Scheme house,Wicklow County Council,11
New Dwelling Completion,2014Q2,Scheme house,Wexford County Council,2
New Dwelling Completion,2014Q2,Scheme house,Ireland,365
New Dwelling Completion,2014Q2,Apartment,Cork City Council,4
New Dwelling Completion,2014Q2,Apartment,Clare County Council,0
New Dwelling Completion,2014Q2,Apartment,Cavan County Council,0
New Dwelling Completion,2014Q2,Apartment,Cork County Council,4
New Dwelling Completion,2014Q2,Apartment,Carlow County Council,0
New Dwelling Completion,2014Q2,Apartment,Dublin City Council,197
New Dwelling Completion,2014Q2,Apartment,Dún Laoghaire Rathdown County Council,0
New Dwelling Completion,2014Q2,Apartment,Donegal County Council,0
New Dwelling Completion,2014Q2,Apartment,Fingal County Council,1
New Dwelling Completion,2014Q2,Apartment,Galway County Council,2
New Dwelling Completion,2014Q2,Apartment,Galway City Council,14
New Dwelling Completion,2014Q2,Apartment,Kildare County Council,0
New Dwelling Completion,2014Q2,Apartment,Kilkenny County Council,0
New Dwelling Completion,2014Q2,Apartment,Kerry County Council,0
New Dwelling Completion,2014Q2,Apartment,Longford County Council,0
New Dwelling Completion,2014Q2,Apartment,Louth County Council,0
New Dwelling Completion,2014Q2,Apartment,Limerick City & County Council,4
New Dwelling Completion,2014Q2,Apartment,Leitrim County Council,0
New Dwelling Completion,2014Q2,Apartment,Laois County Council,2
New Dwelling Completion,2014Q2,Apartment,Meath County Council,4
New Dwelling Completion,2014Q2,Apartment,Monaghan County Council,0
New Dwelling Completion,2014Q2,Apartment,Mayo County Council,3
New Dwelling Completion,2014Q2,Apartment,Offaly County Council,0
New Dwelling Completion,2014Q2,Apartment,Roscommon County Council,0
New Dwelling Completion,2014Q2,Apartment,South Dublin County Council,1
New Dwelling Completion,2014Q2,Apartment,Sligo County Council,1
New Dwelling Completion,2014Q2,Apartment,Tipperary County Council,4
New Dwelling Completion,2014Q2,Apartment,Waterford City & County Council,0
New Dwelling Completion,2014Q2,Apartment,Westmeath County Council,0
New Dwelling Completion,2014Q2,Apartment,Wicklow County Council,0
