Statistic,Month,NACE.Rev.2.Sector,value
Services Index Value,2023 August,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),112.6
Services Index Value,2023 August,Transportation & Storage (H),186.2
Services Index Value,2023 August,Accommodation & Food Service Activities (I),234.9
Services Index Value,2023 August,Information & Communication (J),124.0
Services Index Value,2023 August,"Professional, Scientific & Technical Activities (M)",114.1
Services Index Value,2023 August,Administrative & Support Service Activities (N (excl. 7735)),103.7
Services Index Value,2023 August,"Other Service Activities (L, 92, 93, 95, 96)",133.9
Services Index Value,2023 August,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",125.1
Services Index Value,2023 August,Wholesale Trade (46),117.7
Services Index Value,2023 August,Accommodation (55),280.5
Services Index Value,2023 August,"Food Service Activities (561, 562)",224.2
Services Index Value,2023 August,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",126.2
Services Index Value,2023 September,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),107.5
Services Index Value,2023 September,Transportation & Storage (H),185.6
Services Index Value,2023 September,Accommodation & Food Service Activities (I),217.5
Services Index Value,2023 September,Information & Communication (J),134.9
Services Index Value,2023 September,"Professional, Scientific & Technical Activities (M)",115.0
Services Index Value,2023 September,Administrative & Support Service Activities (N (excl. 7735)),105.9
Services Index Value,2023 September,"Other Service Activities (L, 92, 93, 95, 96)",136.8
Services Index Value,2023 September,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",129.4
Services Index Value,2023 September,Wholesale Trade (46),111.5
Services Index Value,2023 September,Accommodation (55),249.2
Services Index Value,2023 September,"Food Service Activities (561, 562)",210.9
Services Index Value,2023 September,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",123.7
Services Index Value,2023 October,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),108.2
Services Index Value,2023 October,Transportation & Storage (H),166.0
Services Index Value,2023 October,Accommodation & Food Service Activities (I),207.9
Services Index Value,2023 October,Information & Communication (J),126.9
Services Index Value,2023 October,"Professional, Scientific & Technical Activities (M)",122.8
Services Index Value,2023 October,Administrative & Support Service Activities (N (excl. 7735)),113.7
Services Index Value,2023 October,"Other Service Activities (L, 92, 93, 95, 96)",143.4
Services Index Value,2023 October,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",126.3
Services Index Value,2023 October,Wholesale Trade (46),115.3
Services Index Value,2023 October,Accommodation (55),218.7
Services Index Value,2023 October,"Food Service Activities (561, 562)",209.7
Services Index Value,2023 October,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",125.7
Services Index Value,2023 November,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),118.6
Services Index Value,2023 November,Transportation & Storage (H),157.0
Services Index Value,2023 November,Accommodation & Food Service Activities (I),193.2
Services Index Value,2023 November,Information & Communication (J),134.0
Services Index Value,2023 November,"Professional, Scientific & Technical Activities (M)",118.7
Services Index Value,2023 November,Administrative & Support Service Activities (N (excl. 7735)),117.0
Services Index Value,2023 November,"Other Service Activities (L, 92, 93, 95, 96)",145.9
Services Index Value,2023 November,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",130.9
Services Index Value,2023 November,Wholesale Trade (46),118.7
Services Index Value,2023 November,Accommodation (55),189.6
Services Index Value,2023 November,"Food Service Activities (561, 562)",194.1
Services Index Value,2023 November,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",127.5
Services Index Value,2023 December,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),119.5
Services Index Value,2023 December,Transportation & Storage (H),160.5
Services Index Value,2023 December,Accommodation & Food Service Activities (I),221.0
Services Index Value,2023 December,Information & Communication (J),162.3
Services Index Value,2023 December,"Professional, Scientific & Technical Activities (M)",130.1
Services Index Value,2023 December,Administrative & Support Service Activities (N (excl. 7735)),127.7
Services Index Value,2023 December,"Other Service Activities (L, 92, 93, 95, 96)",158.2
Services Index Value,2023 December,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",149.1
Services Index Value,2023 December,Wholesale Trade (46),107.6
Services Index Value,2023 December,Accommodation (55),211.8
Services Index Value,2023 December,"Food Service Activities (561, 562)",214.0
Services Index Value,2023 December,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",135.4
Services Index Value,2024 January,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),108.7
Services Index Value,2024 January,Transportation & Storage (H),143.7
Services Index Value,2024 January,Accommodation & Food Service Activities (I),152.0
Services Index Value,2024 January,Information & Communication (J),125.4
Services Index Value,2024 January,"Professional, Scientific & Technical Activities (M)",108.7
Services Index Value,2024 January,Administrative & Support Service Activities (N (excl. 7735)),135.9
Services Index Value,2024 January,"Other Service Activities (L, 92, 93, 95, 96)",150.7
Services Index Value,2024 January,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",122.6
Services Index Value,2024 January,Wholesale Trade (46),107.5
Services Index Value,2024 January,Accommodation (55),152.7
Services Index Value,2024 January,"Food Service Activities (561, 562)",174.7
Services Index Value,2024 January,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",119.7
Services Index Value,2024 February,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),113.6
Services Index Value,2024 February,Transportation & Storage (H),142.9
Services Index Value,2024 February,Accommodation & Food Service Activities (I),187.7
Services Index Value,2024 February,Information & Communication (J),126.7
Services Index Value,2024 February,"Professional, Scientific & Technical Activities (M)",113.8
Services Index Value,2024 February,Administrative & Support Service Activities (N (excl. 7735)),103.7
Services Index Value,2024 February,"Other Service Activities (L, 92, 93, 95, 96)",149.9
Services Index Value,2024 February,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",124.2
Services Index Value,2024 February,Wholesale Trade (46),117.3
Services Index Value,2024 February,Accommodation (55),169.5
Services Index Value,2024 February,"Food Service Activities (561, 562)",187.0
Services Index Value,2024 February,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",121.5
Services Index Value,2024 March,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),113.2
Services Index Value,2024 March,Transportation & Storage (H),175.2
Services Index Value,2024 March,Accommodation & Food Service Activities (I),218.4
Services Index Value,2024 March,Information & Communication (J),138.8
Services Index Value,2024 March,"Professional, Scientific & Technical Activities (M)",119.6
Services Index Value,2024 March,Administrative & Support Service Activities (N (excl. 7735)),117.8
Services Index Value,2024 March,"Other Service Activities (L, 92, 93, 95, 96)",163.5
Services Index Value,2024 March,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",134.4
Services Index Value,2024 March,Wholesale Trade (46),117.0
Services Index Value,2024 March,Accommodation (55),203.5
Services Index Value,2024 March,"Food Service Activities (561, 562)",208.4
Services Index Value,2024 March,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",129.7
Services Index Value,2024 April,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),106.2
Services Index Value,2024 April,Transportation & Storage (H),164.8
Services Index Value,2024 April,Accommodation & Food Service Activities (I),195.0
Services Index Value,2024 April,Information & Communication (J),137.5
Services Index Value,2024 April,"Professional, Scientific & Technical Activities (M)",121.2
Services Index Value,2024 April,Administrative & Support Service Activities (N (excl. 7735)),119.3
Services Index Value,2024 April,"Other Service Activities (L, 92, 93, 95, 96)",172.0
Services Index Value,2024 April,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",131.9
Services Index Value,2024 April,Wholesale Trade (46),107.0
Services Index Value,2024 April,Accommodation (55),205.2
Services Index Value,2024 April,"Food Service Activities (561, 562)",202.5
Services Index Value,2024 April,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",126.0
Services Index Value,2024 May,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),115.3
Services Index Value,2024 May,Transportation & Storage (H),190.1
Services Index Value,2024 May,Accommodation & Food Service Activities (I),241.0
Services Index Value,2024 May,Information & Communication (J),144.1
Services Index Value,2024 May,"Professional, Scientific & Technical Activities (M)",119.0
Services Index Value,2024 May,Administrative & Support Service Activities (N (excl. 7735)),115.4
Services Index Value,2024 May,"Other Service Activities (L, 92, 93, 95, 96)",176.6
Services Index Value,2024 May,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",138.8
Services Index Value,2024 May,Wholesale Trade (46),121.4
Services Index Value,2024 May,Accommodation (55),248.9
Services Index Value,2024 May,"Food Service Activities (561, 562)",214.1
Services Index Value,2024 May,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",133.4
Services Index Value,2024 June,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),119.7
Services Index Value,2024 June,Transportation & Storage (H),190.8
Services Index Value,2024 June,Accommodation & Food Service Activities (I),214.2
Services Index Value,2024 June,Information & Communication (J),158.1
Services Index Value,2024 June,"Professional, Scientific & Technical Activities (M)",129.3
Services Index Value,2024 June,Administrative & Support Service Activities (N (excl. 7735)),119.9
Services Index Value,2024 June,"Other Service Activities (L, 92, 93, 95, 96)",173.5
Services Index Value,2024 June,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",147.6
Services Index Value,2024 June,Wholesale Trade (46),127.1
Services Index Value,2024 June,Accommodation (55),259.7
Services Index Value,2024 June,"Food Service Activities (561, 562)",216.5
Services Index Value,2024 June,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",136.8
Services Index Value,2024 July,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),110.1
Services Index Value,2024 July,Transportation & Storage (H),204.2
Services Index Value,2024 July,Accommodation & Food Service Activities (I),209.7
Services Index Value,2024 July,Information & Communication (J),144.7
Services Index Value,2024 July,"Professional, Scientific & Technical Activities (M)",128.7
Services Index Value,2024 July,Administrative & Support Service Activities (N (excl. 7735)),109.9
Services Index Value,2024 July,"Other Service Activities (L, 92, 93, 95, 96)",164.4
Services Index Value,2024 July,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",138.3
Services Index Value,2024 July,Wholesale Trade (46),110.0
Services Index Value,2024 July,Accommodation (55),248.7
Services Index Value,2024 July,"Food Service Activities (561, 562)",210.3
Services Index Value,2024 July,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",131.7
Services Index Value,2024 August,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),104.9
Services Index Value,2024 August,Transportation & Storage (H),201.9
Services Index Value,2024 August,Accommodation & Food Service Activities (I),229.0
Services Index Value,2024 August,Information & Communication (J),149.5
Services Index Value,2024 August,"Professional, Scientific & Technical Activities (M)",115.6
Services Index Value,2024 August,Administrative & Support Service Activities (N (excl. 7735)),105.3
Services Index Value,2024 August,"Other Service Activities (L, 92, 93, 95, 96)",164.2
Services Index Value,2024 August,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",138.1
Services Index Value,2024 August,Wholesale Trade (46),106.3
Services Index Value,2024 August,Accommodation (55),278.0
Services Index Value,2024 August,"Food Service Activities (561, 562)",215.0
