Statistic,Quarter,Business.of.Owner,value
All Vehicle Kilometres,2011Q4,Other,163
All Vehicle Kilometres,2012Q1,All business activities,350
All Vehicle Kilometres,2012Q1,Transport,177
All Vehicle Kilometres,2012Q1,Other,173
All Vehicle Kilometres,2012Q2,All business activities,330
All Vehicle Kilometres,2012Q2,Transport,161
All Vehicle Kilometres,2012Q2,Other,169
All Vehicle Kilometres,2012Q3,All business activities,334
All Vehicle Kilometres,2012Q3,Transport,164
All Vehicle Kilometres,2012Q3,Other,170
All Vehicle Kilometres,2012Q4,All business activities,303
All Vehicle Kilometres,2012Q4,Transport,141
All Vehicle Kilometres,2012Q4,Other,162
All Vehicle Kilometres,2013Q1,All business activities,318
All Vehicle Kilometres,2013Q1,Transport,157
All Vehicle Kilometres,2013Q1,Other,162
All Vehicle Kilometres,2013Q2,All business activities,338
All Vehicle Kilometres,2013Q2,Transport,156
All Vehicle Kilometres,2013Q2,Other,181
All Vehicle Kilometres,2013Q3,All business activities,330
All Vehicle Kilometres,2013Q3,Transport,171
All Vehicle Kilometres,2013Q3,Other,159
All Vehicle Kilometres,2013Q4,All business activities,276
All Vehicle Kilometres,2013Q4,Transport,134
All Vehicle Kilometres,2013Q4,Other,141
All Vehicle Kilometres,2014Q1,All business activities,347
